County,License_Number,Establishment_Type,Entity_Name,DBA_Name,Street_Number,Street_Name,City,State_Abbreviation,Zip_Code,Square_Footage,Latitude,Longitude
Columbia,100358,JAC,SCOTT & THERESA LLC,BRYANT FARMS,5498,RT 9H & 23,HUDSON,NY,12534,2000,,
Bronx,745575,JAC,MR CHOPPED CHEESE & GROCERY CORP,MR CHOPPED CHEESE & GRO,53,W FORDHAM RD,BRONX,NY,10468,1000,-73.903486,40.862746
Kings,720553,JAC,GREEN GARDEN 1 DELI CORP,GREEN GARDEN 1 DELI,2801,NOSTRAND AVE,BROOKLYN,NY,11229,0,-73.944754,40.615724
Nassau,740828,JAC,EL BROTHER DELI CORP,EL BROTHER DELI,18,MOTT AVE,INWOOD,NY,11096,1000,-73.738108,40.618412
Nassau,734284,JAC,SAAD DELI CORP,SAAD DELI,8,JAMES LL BURRELL AVE,HEMPSTEAD,NY,11550,0,-73.614292,40.714453
Chautauqua,749488,JAC,RIVERA MATTHEW,PATRICK'S SMOKE SHOP,615,NORTH MAIN STREET,JAMESTOWN,NY,14701,1800,-79.241927,42.09952
Saratoga,744515,JAC,JUST MEATS OF MALTA,JUST MEATS OF MALTA,2858,ROUTE 9,BALLSTON SPA,NY,12020,3000,,
Erie,142446,A,MUSA ALI M,BETTER BUY MARKET,2005,GENESEE ST,BUFFALO,NY,14211,1000,-78.808258,42.914825
Oneida,305801,JAC,TOMS NATURAL FOODS LTD,TOMS NATURAL FOODS,16,COLLEGE ST,CLINTON,NY,13323,1200,-75.379523,43.048213
Bronx,711356,JACDH,FOODFEST DEPOT LLC,FOODFEST DEPOT,500,E 132ND ST,BRONX,NY,10454,80000,-73.922799,40.803987
Westchester,728341,A,THE MARKET AT UNION HALL LLC,THE MARKET AT UNION HAL,2,KEELER LANE,NORTH SALEM,NY,10560,450,-73.570865,41.334729
Kings,742854,JAC,WINN SYLWIA,PODLASIE-POLISH AMERICA,7607,NEW UTRECHT AVE,BROOKLYN,NY,11214,1500,-74.000307,40.614539
New York,629176,JAC,AVENUE A DELI & FOOD INC,AVENUE A DELI & FOOD,24,AVENUE A,NEW YORK,NY,10009,1100,-73.98566,40.723134
Saratoga,747225,JAC,CARDONAS SARATOGA LLC,CARDONAS,222,WASHINGTON ST,SARATOGA SPRINGS,NY,12866,0,-73.798132,43.080042
Otsego,725254,JAC,REINHARDT CORP,THE CENTER,9550,ST HWY 7,WORCESTER,NY,12197,10000,-74.730398,42.5958
Erie,740575,A,US MINI MART INC,US MINI MART,179,MILITARY RD,BUFFALO,NY,14207,1500,-78.891912,42.941638
Kings,720266,JAC,KOSHER DISCOUNT LLC,KOSHER DISCOUNT,4909,13TH AVE,BROOKLYN,NY,11219,4800,-73.992412,40.634744
Tompkins,500316,JABC,BJS WHOLESALE CLUB INC,BJS WHOLESALE CLUB 352,40,GRAHAM RD WEST,ITHACA,NY,14850,86000,-76.489124,42.485931
Bronx,745395,JAC,SWEET APPLE DELI GROCERY INC,SWEET APPLE DELI GROCER,395,E 151ST ST,BRONX,NY,10455,900,-73.917362,40.817571
New York,626461,JAC,DUANE READE ETAL PTRS,DUANE READE #14524,1627-1629,BROADWAY,NEW YORK,NY,10019,2000,-73.984155,40.761274
New York,731842,A,3635 SILVER SADDLE DELI GROCERY I,3635 SILVER SADDLE DELI,3635,BROADWAY,NEW YORK,NY,10031,0,-73.948413,40.829401
